TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.530803,0,0
2,2.352642,0,0
3,3.050149,0,0
4,2.959411,0,0
5,3.032541,0,0
6,2.997958,0,0
7,2.84222,0,0
8,2.937619,0,0
9,3.05517,0,0
10,3.122423,0,0
11,3.091948,0,0
12,3.070631,0,0
13,3.108428,0,0
14,2.894778,1,0.4800001
15,2.949721,2,1.14
16,2.835409,1,0.26
17,2.789413,2,1.27
18,2.842137,6,1.142499
19,2.7078,8,1.555999
20,2.601253,10,2.314887
21,2.423627,13,2.445332
22,2.110453,17,3.071553
23,2.049006,21,3.374125
24,2.097077,19,2.445776
25,1.871572,22,2.968685
26,1.596512,26,3.506363
27,1.577935,27,4.392778
28,1.343252,28,5.095003
29,1.251884,32,5.465855
30,1.053662,36,4.790089
31,1.217658,33,6.133904
32,1.47406,27,8.519743
33,1.660037,23,7.406324
34,1.51664,26,7.037714
35,1.480273,29,8.641927
36,1.679519,26,9.069248
37,1.54212,28,7.731945
38,1.548514,28,8.731956
39,1.498592,29,9.50549
40,1.822669,22,15.15056
41,4.627179,17,8.808377
42,2.247708,17,9.808391
43,2.149091,18,10.86841
44,2.121892,17,11.88842
45,2.227417,17,12.90844
46,1.928355,19,10.72635
47,2.183238,19,11.76636
48,2.303666,19,12.76638
49,2.335209,14,15.4485
50,2.54589,7,12.60679
51,2.453256,12,34.4229
52,2.255119,14,16.50868
53,2.260308,16,13.36587
54,2.341703,14,12.26847
55,2.27087,15,12.62515
56,2.052654,16,10.38387
57,2.017894,16,11.44201
58,1.994013,18,5.706596
59,1.846353,20,6.289349
60,1.798647,22,11.672
61,1.713054,21,7.953815
62,1.556382,22,8.793859
63,1.499515,25,8.457516
64,1.595649,21,10.41227
65,2.174103,10,9.051306
66,1.944486,16,8.722131
67,2.082811,14,17.71586
68,2.370483,12,10.44342
69,2.291112,11,9.378636
70,1.990835,12,7.632548
71,1.900948,13,8.905059
72,1.880161,14,8.874231
73,1.849689,13,9.862575
74,1.880182,14,10.86759
75,1.914831,14,11.84594
76,2.078876,8,31.33382
77,2.010784,9,31.82499
78,1.777494,15,12.92246

