TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.467367,0,0
2,3.109751,0,0
3,3.594658,0,0
4,3.421568,0,0
5,3.336147,0,0
6,3.361406,0,0
7,3.33277,0,0
8,3.209432,0,0
9,3.202721,0,0
10,3.268021,0,0
11,3.201848,0,0
12,3.179432,0,0
13,3.217856,0,0
14,2.285364,1,0.6199999
15,2.268027,1,1.639999
16,1.20857,2,1.739999
17,1.10479,5,1.933332
18,1.106047,6,2.863332
19,1.113504,6,3.863331
20,1.067048,6,4.863329
21,1.775585,6,5.903328
22,1.848549,6,6.903333
23,1.45625,7,6.102505
24,1.511129,8,6.811016
25,1.73302,7,6.508011
26,1.906946,8,7.102245
27,1.820218,10,7.5217
28,1.664149,12,8.134709
29,1.606648,13,8.951568
30,1.59838,13,9.940668
31,1.598399,13,10.91038
32,1.598394,13,11.89949
33,1.598379,13,12.90799
34,1.505675,13,13.87771
35,1.09847,15,8.942583
36,1.544662,13,9.449778
37,1.675298,13,10.43888
38,1.627587,13,11.42799
39,1.42217,14,9.663121
40,1.334029,14,10.63283
41,1.755502,14,11.62193
42,1.728358,14,12.59164
43,1.827844,14,13.61953
44,1.827841,14,14.58925
45,1.628388,15,11.79877
46,1.628395,15,12.7956
47,1.855574,8,23.64656
48,2.221554,4,11.80678
49,2.178631,6,25.66032
50,2.104343,8,15.67393
51,2.18216,6,14.08766
52,2.097034,4,15.88684
53,1.363192,6,13.20347
54,1.084563,8,10.1821
55,1.000033,8,11.20212
56,0.8787805,8,12.22213
57,0.7523224,9,11.1788
58,1.901792,4,11.04012
59,2.086377,4,12.06013
60,2.424893,4,13.08014
61,2.304257,5,12.46847
62,2.387301,5,13.46849
63,2.374519,5,14.4885
64,2.389341,5,15.52852
65,2.404149,5,16.52853
66,2.384337,5,17.54855
67,2.354883,5,18.54857
68,2.341911,5,19.56859
69,2.69912,3,15.36683
70,2.672,4,8.423426
71,2.650899,4,9.483438
72,2.517592,4,10.50345
73,2.165748,6,6.23173
74,2.162685,6,7.271735
75,1.929123,6,8.29174
76,1.818444,8,8.772301
77,1.739541,9,9.621751
78,1.749426,9,10.64176
79,1.58508,10,10.30709
80,2.25808,6,7.432026
81,2.309984,6,8.452039
82,2.326691,6,9.472052
83,2.42565,6,10.51207
84,2.464225,6,11.53208
85,2.298922,8,8.604735
86,2.313158,8,9.624749
87,2.221361,9,7.76406
88,2.123821,10,8.118954
89,2.099241,11,7.98006
90,2.079894,11,9.89675
91,1.968157,10,8.718399
92,1.688561,10,9.738407
93,1.754465,11,10.22242
94,1.721879,11,11.22244
95,1.810565,11,12.26245
96,1.729142,11,13.26247
97,1.612236,13,9.748322
98,1.476395,14,9.808478
99,1.124095,17,8.930087
100,1.352074,18,9.491645
101,1.769818,15,13.42522
102,2.337703,9,8.344331
103,2.253022,9,9.364338
104,2.176755,10,9.653803
105,2.201129,10,10.69382
106,2.127348,11,10.28133
107,2.179323,13,9.676474
108,2.144246,13,10.69649
109,2.161149,13,11.7165
110,2.159446,13,12.71652
111,2.12105,13,13.75653
112,2.48625,8,22.11637
113,2.673488,5,7.067546
114,2.442186,6,6.774045
115,2.378085,7,13.32276
116,2.514419,6,8.814062
117,2.518197,6,9.814072
118,2.462828,6,10.83408
119,2.533868,7,8.096059
120,2.285416,9,7.173847
121,2.396859,9,8.173855
122,2.272036,10,8.220073
123,2.605429,5,4.790009
124,2.404605,6,3.900007
125,2.259452,8,3.536674
126,2.092618,9,4.22334
127,1.930452,10,4.963341
128,1.907636,10,6.027155
129,1.811478,12,6.011685
130,1.866006,13,6.764098
131,1.951576,12,8.105866
132,1.671844,13,8.767816
133,1.559325,14,7.595874
134,1.72391,12,7.191146
135,1.668369,14,7.465492
136,1.548985,14,8.483076
137,1.476739,16,7.568638
138,1.406441,16,8.56865
139,1.660753,16,9.58866
140,1.652339,16,10.62867
141,1.575147,17,10.68646
142,1.450795,21,10.15396
143,1.378092,22,10.93758
144,1.314999,22,11.93759
145,1.792301,16,16.98128
146,2.051163,12,9.82507
147,2.006008,15,13.97013
148,2.277646,12,11.8651
149,2.157141,12,12.88511
150,2.268853,12,13.90513
151,2.185637,12,14.94115
152,2.000656,15,11.91179
153,1.917775,16,11.30846
154,1.843322,17,8.345649
155,1.936462,15,10.35345
156,2.432022,8,55.52058
157,2.522171,8,6.774066
158,2.604731,8,7.774071
159,2.47874,8,8.814075
160,17.3662,9,8.409386
161,2.463799,10,8.955073
162,2.158008,10,9.975082
163,2.113183,14,8.552936
164,2.055405,14,9.580088
165,2.036996,16,7.12328
166,2.189645,14,14.7986
167,2.145365,11,4.641012
168,1.924794,13,4.468196
169,1.738624,15,4.95463
170,1.979351,15,5.954633
171,1.93253,15,7.014636
172,1.93512,15,8.034643
173,1.92163,15,9.054655
174,1.882617,15,10.07467
175,1.822883,15,11.09469
176,1.802729,15,12.1147
177,1.793857,16,8.796484
178,1.871276,17,8.512046
179,1.790123,17,9.532058
180,1.662963,18,10.0654
181,1.669886,18,11.08542
182,1.672844,18,12.10543
183,1.644626,18,13.12544
184,5.516168,18,14.14879
185,1.385392,20,14.17547
186,1.266876,20,15.20437
187,1.140661,21,14.81993
188,1.500915,15,25.00723
189,2.2065,10,6.938061
190,2.013251,11,52.79424
191,2.106506,12,7.535619
192,1.667626,15,10.0501
193,1.778449,15,7.57006
194,2.258073,11,11.80143
195,2.074233,17,7.47172
196,2.097329,17,9.945853

