TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.53288,0,0
2,2.17545,0,0
3,3.266962,0,0
4,3.221854,0,0
5,3.364988,0,0
6,3.305854,0,0
7,3.088518,0,0
8,3.162132,0,0
9,3.26086,0,0
10,3.423235,0,0
11,3.515978,0,0
12,2.823544,1,0.12
13,3.133505,1,1.14
14,2.944028,2,1.339999
15,3.130658,2,2.339998
16,3.113389,2,3.359998
17,2.841116,5,3.352498
18,2.643055,6,3.121664
19,2.518881,7,3.943997
20,2.321778,4,2.456666
21,2.180255,4,3.476669
22,2.25598,4,4.496672
23,2.290434,4,5.516675
24,1.989819,5,5.806679
25,1.936443,8,4.570007
26,2.05888,9,5.457513
27,1.807971,12,5.211016
28,2.401065,10,4.500228
29,2.226859,10,5.520235
30,2.19364,12,5.798904
31,2.261883,12,6.818909
32,2.62543,10,6.501681
33,2.644181,10,7.518353
34,2.751875,10,8.516694
35,2.54809,10,7.116695
36,2.649381,9,7.601707
37,2.693394,9,8.621719
38,2.788143,7,14.0051
39,2.915412,7,5.958368
40,2.986014,7,6.998375
41,2.904659,7,8.018382
42,7.327721,7,9.05839
43,2.537231,8,9.609515
44,2.54186,10,8.84008
45,2.454302,12,8.9682
46,2.524691,9,3.609785
47,2.515869,9,4.629788
48,2.245469,11,4.670345
49,2.210888,11,6.307577
50,2.001171,14,5.838686
51,1.834812,14,6.881357
52,1.561108,17,6.521611
53,24.6803,17,7.54162
54,1.76336,14,11.05791
55,2.049744,12,6.770506
56,1.986959,12,7.770515
57,2.110532,12,8.770526
58,2.119145,13,9.095868
59,2.070785,13,10.11588
60,2.05058,13,11.11589
61,1.966087,14,11.53946
62,2.205895,9,47.62149
63,2.352204,9,6.901948
64,2.382281,10,7.480885
65,2.351601,10,8.500896
66,2.367712,10,9.520907
67,2.335566,10,10.54759
68,2.704701,3,44.27376
69,2.675542,4,6.783391
70,2.527588,7,7.655047
71,2.587322,5,8.630073
72,2.565738,6,8.96675
73,2.432817,7,6.545591
74,2.183077,9,6.042261
75,2.057974,11,6.063374
76,2.170391,8,5.687512
77,1.961865,10,4.312677
78,1.911242,10,5.39435
79,1.749992,13,5.41221
80,1.63111,14,6.23269
81,1.62849,16,6.305023
82,1.905925,11,5.997009
83,1.739197,14,4.624557
84,1.724124,14,5.617289
85,5.504219,14,6.63275
86,1.752334,14,7.65185
87,1.749069,16,7.469204
88,1.77497,11,12.32436
89,1.900484,11,10.99305
90,2.029484,8,14.40007
91,1.861585,9,14.92006
92,1.790739,13,4.782519
93,2.06376,10,4.470015
94,2.017642,11,5.170019
95,16.57903,13,5.444401
96,1.891881,14,4.993303
97,1.863441,14,5.993306
98,2.199158,8,4.973331
99,2.149808,9,5.694286
100,2.108665,9,6.727627
101,2.046179,9,7.430017
102,2.022575,10,8.438361
103,1.921906,10,9.458373
104,1.950603,10,10.45839
105,1.930057,10,11.48758
106,1.855492,10,10.76007
107,1.812956,11,11.21708
108,1.861391,11,12.2571
109,4.622205,13,8.817082
110,1.471355,17,5.725833
111,1.57724,17,6.745841
112,1.656631,17,7.765847
113,1.923968,13,12.45345
114,2.200171,7,5.791684
115,2.070465,8,20.66791
116,2.061643,7,7.911686
117,2.023417,9,6.718358
118,2.031395,10,6.956697
119,1.92044,11,7.332955
120,1.801148,13,5.335586
121,1.827664,15,6.220038
122,1.74087,18,5.299865
123,1.442265,21,5.217365
124,1.45272,23,5.778798
125,1.845063,13,4.695817
126,1.812907,13,5.735819
127,1.75378,13,6.747251
128,1.855219,16,7.964007
129,1.862181,15,8.112018
130,1.82308,15,9.132034
131,1.851648,15,10.15205
132,2.316039,11,21.45215
133,2.32341,10,5.652037
134,2.267486,10,6.652046
135,2.473194,10,7.777054
136,2.185275,13,7.771106
137,2.197753,15,8.414288
138,2.16614,15,9.434296
139,2.105439,16,10.26875
140,2.342096,11,7.29501
141,2.246007,12,7.979112
142,2.269388,11,9.373037
143,2.135867,15,6.279198
144,1.91513,16,6.969269
145,1.769042,18,4.909518
146,1.502405,18,5.929525
147,1.895893,12,9.061481
148,2.257763,10,11.0884
149,2.568669,7,4.386681
150,2.537772,7,5.406682
151,2.457312,7,6.406686
152,2.388753,7,7.406691
153,2.488163,7,8.446698
154,2.49411,7,9.44671
155,2.568006,7,10.46672
156,2.260701,11,8.381042
157,2.146504,12,10.13172

