TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.627736,0,0
2,2.469593,0,0
3,2.972445,0,0
4,2.979285,0,0
5,2.749603,0,0
6,3.081305,0,0
7,2.961811,0,0
8,3.118951,0,0
9,3.114656,0,0
10,3.007798,0,0
11,3.01834,0,0
12,3.003109,0,0
13,3.066316,0,0
14,3.102411,1,0.24
15,2.860548,4,0.8666664
16,2.873074,6,1.802221
17,2.668461,8,1.943332
18,2.504895,10,2.105832
19,2.173646,12,2.302776
20,2.080584,15,3.521109
21,2.062386,16,4.111664
22,1.811185,23,4.015654
23,1.64456,24,4.844701
24,2.05917,18,5.088462
25,1.990748,18,8.540001
26,1.936897,18,6.983547
27,1.83483,21,6.348087
28,1.522565,27,4.022104
29,1.410347,29,5.544209
30,1.374121,32,6.182768
31,1.233576,35,5.249431
32,1.2371,37,5.975496
33,1.096589,37,6.94931
34,1.491117,32,9.454086
35,1.952784,24,8.207278
36,1.895958,25,8.961221
37,1.839148,25,9.909948
38,1.790934,25,10.87765
39,1.757109,28,9.098691
40,1.664297,28,10.07948
41,1.547808,29,10.7452
42,1.830559,24,14.73328
43,2.16702,20,27.07593
44,2.202127,18,10.54754
45,2.073947,21,14.49575
46,2.124255,18,12.58757
47,2.191946,18,13.60759
48,2.136126,20,9.20318
49,2.087846,20,10.22319
50,2.030485,20,11.24321
51,2.73437,6,9.825635
52,2.588237,8,44.30716
53,2.441967,10,18.50684
54,2.403255,11,11.49008
55,2.515183,10,9.662406
56,2.467895,11,10.08141
57,2.562439,12,10.41587
58,2.308417,15,8.430357
59,2.247521,16,9.082952
60,2.202066,16,10.10296
61,2.365277,12,13.29194
62,2.514069,11,11.2826
63,2.46422,11,12.30261
64,2.447922,11,13.32263
65,2.207857,13,13.07764
66,2.242654,13,14.07766
67,2.305299,14,14.70001
68,2.316566,14,15.72003
69,2.673853,7,10.27746
70,2.613603,8,11.20413
71,2.538185,9,12.06192
72,2.508097,9,13.10193
73,2.449341,10,13.52461
74,2.418033,11,9.977878
75,2.383243,12,10.5055
76,2.211925,15,10.40107
77,2.286243,15,7.158934
78,2.131554,17,5.707445

