TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.183962,0,0
2,2.55222,0,0
3,3.370097,0,0
4,3.379209,0,0
5,3.5386,0,0
6,3.543395,0,0
7,3.427854,0,0
8,3.365933,0,0
9,3.420826,0,0
10,3.412658,0,0
11,3.478111,0,0
12,2.716683,0,0
13,2.066638,2,0.7399998
14,2.066001,2,1.799999
15,2.027593,2,2.819998
16,2.096376,2,3.839997
17,2.387743,2,4.919996
18,2.028221,3,4.286664
19,1.600095,4,5.083329
20,1.761714,6,3.698334
21,2.566387,6,4.738341
22,2.573385,6,5.778348
23,2.45249,10,6.088356
24,2.743297,11,7.842049
25,2.613281,13,8.614227
26,2.659837,13,9.634239
27,2.634606,14,10.44778
28,2.897521,15,11.24581
29,3.072639,14,6.755729
30,2.674847,15,4.280011
31,2.584752,15,5.282873
32,2.125861,15,6.285738
33,2.122936,16,5.251927
34,2.107825,16,6.267171
35,2.355998,15,7.91434
36,2.342577,16,8.082923
37,2.342583,16,9.085791

