TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.46891,0,0
2,2.868833,0,0
3,3.605637,0,0
4,3.557643,0,0
5,3.524748,0,0
6,3.393809,0,0
7,3.414935,0,0
8,3.363361,0,0
9,3.322133,0,0
10,3.257303,0,0
11,3.001293,1,0.9399996
12,2.998919,1,1.959999
13,3.004763,2,1.819999
14,2.927236,2,2.839998
15,2.941138,3,2.899998
16,2.939306,4,3.124998
17,3.021255,0,0
18,3.353307,0,0
19,3.110091,1,0.38
20,2.780761,3,0.9449996
21,2.654154,3,1.984999
22,2.807114,3,1.419999
23,2.552621,8,2.169999
24,2.427893,11,3.008146
25,2.385242,12,3.952664
26,2.21084,14,3.659997
27,2.588216,12,4.534542
28,2.5841,12,5.508177
29,2.57945,12,6.481812
30,8.614258,12,7.455453
31,2.055794,14,4.356673
32,2.369936,12,5.064556
33,2.500643,12,6.057292
34,2.569575,12,7.011847
35,2.564867,12,7.985495
36,2.487817,13,7.705051
37,2.410897,14,6.059131
38,2.66983,8,14.38429
39,2.792227,5,3.403334
40,2.739874,6,4.003337
41,2.659728,7,11.34758
42,2.543844,7,5.09334
43,2.645756,9,5.491675
44,2.24543,10,5.785013
45,2.217176,10,6.805021
46,2.534593,8,5.620006
47,2.505224,8,6.660014
48,2.51844,8,7.767523
49,2.51304,9,7.92953
50,2.468462,9,8.949539
51,2.500708,10,9.214217
52,2.362048,11,9.62042
53,2.346032,11,10.65472
54,2.441676,10,4.547531
55,2.357403,12,3.481874
56,2.325871,12,4.501876
57,2.341835,12,5.52188
58,2.329585,12,6.521883
59,2.197546,13,7.138699
60,2.063686,15,5.691527
61,2.01701,17,5.796468
62,2.737556,6,4.678889
63,2.657,7,5.026673
64,2.728028,7,6.04668
65,2.710246,7,7.055576
66,2.563172,9,6.733354
67,2.502109,10,7.190022
68,2.379841,11,7.805585
69,2.175667,16,6.437352
70,2.310857,14,4.912123
71,2.236036,15,5.577366
72,2.181956,16,6.301443
73,2.147337,17,7.06004
74,2.2228,18,7.12737
75,2.633023,9,4.690683
76,2.681404,9,5.710686
77,2.505002,9,6.71069
78,2.455525,12,5.275019
79,2.435447,12,6.876698
80,2.417413,13,7.472418
81,2.370687,15,6.06503
82,2.514809,12,17.69734
83,2.47373,12,6.367355
84,2.343959,14,6.871811
85,2.220074,15,7.739044
86,2.173434,16,8.417781
87,2.083464,17,9.093394
88,2.000196,18,7.740056
89,1.894311,18,8.761314
90,2.105577,14,12.70344
91,2.426024,8,8.753394
92,2.162656,13,13.82588
93,1.987269,17,9.519072
94,1.926742,17,6.618509
95,1.864687,19,7.021163
96,1.791248,19,8.021171
97,1.836323,19,9.04118
98,1.854902,17,7.666698

