TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.071574,0,0
2,3.044306,0,0
3,3.135731,0,0
4,3.216405,0,0
5,2.975835,0,0
6,3.159078,0,0
7,3.159596,0,0
8,3.091652,0,0
9,3.203554,0,0
10,3.336387,0,0
11,3.263103,0,0
12,3.324185,1,0.4
13,3.325919,1,1.419999
14,3.247809,1,2.419998
15,3.164227,2,1.909999
16,2.965592,5,1.523332
17,2.57618,8,1.709999
18,2.676399,10,2.028888
19,2.666331,11,2.669998
20,2.581731,13,3.282284
21,2.509799,14,4.098832
22,2.309373,15,4.951109
23,2.134283,18,4.416904
24,1.663475,28,3.39062
25,1.368456,34,4.362297
26,1.560613,25,4.547937
27,1.403298,30,4.966831
28,1.122019,36,5.146682
29,1.157775,36,6.166687
30,1.121569,37,6.895366
31,1.036875,37,7.911783
32,1.031484,37,8.911792
33,0.9737948,38,9.743
34,0.9277366,39,8.302261
35,0.9061186,39,9.322275
36,1.00292,37,10.92704
37,1.683312,27,10.83138
38,1.699493,27,11.85139
39,1.695516,27,12.8914
40,1.616702,27,13.89142
41,1.558241,27,14.93502
42,1.540372,27,15.9812
43,1.543147,27,17.00686
44,1.598434,28,17.59919
45,1.518244,28,18.59921
46,1.413484,28,19.59923
47,1.578256,25,23.29632
48,2.013225,16,87.75465
49,1.864139,18,43.26397
50,1.829746,19,23.45255
51,2.013589,16,17.54524
52,1.927577,17,12.72351
53,1.862369,16,19.62528
54,1.903022,17,18.56694
55,6.123575,18,18.6376
56,1.815752,18,19.66028
57,1.851106,20,19.03106
58,1.992554,14,27.26981
59,2.273904,8,64.32657
60,2.263067,9,30.60711
61,2.332227,10,22.73253
62,2.765378,6,10.38677
63,2.297371,13,7.305389
64,2.665494,9,9.500594
65,2.668755,13,7.263735
66,2.285647,16,8.026121
67,2.29851,18,6.605954
68,2.263046,19,7.463103
69,2.492603,16,4.489173
70,2.412444,16,5.489176
71,2.323786,17,6.057275
72,2.28972,17,7.065613
73,2.236202,18,7.8396
74,2.175836,19,8.608794
75,2.21406,19,9.608807
76,2.203921,20,10.37634
77,2.039865,20,8.949135
78,1.928126,22,9.531979
79,1.973932,23,10.36366
80,2.326714,16,9.263654
81,2.047801,19,9.040741
82,2.014633,20,9.748531
83,1.90197,20,10.76143
84,1.793671,23,11.00819
85,1.767113,23,10.38721
86,1.696438,25,10.78186
87,1.564134,26,11.52315
88,1.400664,27,9.535931
89,1.690499,22,11.1245
90,1.909812,16,15.01014
91,2.143794,13,16.18298
92,1.795447,22,12.92642
93,1.626251,26,9.487215
94,1.793957,24,8.266234
95,1.6813,25,8.796718
96,1.675785,25,9.796729
97,1.728224,26,10.35081
98,1.78091,26,11.33749

