TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.635696,0,0
2,3.683015,0,0
3,3.733853,0,0
4,3.556329,0,0
5,3.71206,0,0
6,3.380158,0,0
7,3.407419,0,0
8,3.271299,0,0
9,3.543485,0,0
10,3.567437,0,0
11,3.571045,0,0
12,3.415964,1,0.7599998
13,3.311259,1,1.779999
14,3.060086,4,1.589999
15,3.060565,4,1.606666
16,2.958046,5,2.056665
17,2.81352,8,2.104999
18,2.712013,9,2.314998
19,2.784096,10,3.023664
20,2.713922,10,4.106997
21,2.379439,17,3.440331
22,2.43925,21,3.672847
23,2.326384,23,4.463707
24,2.270811,27,3.652711
25,2.258896,30,5.519989
26,2.309628,27,4.177359
27,2.15674,30,4.764279
28,2.022958,31,5.680592
29,1.957637,32,6.45446
30,1.871021,34,7.119839
31,1.611062,34,8.199849
32,1.619745,35,6.992201
33,1.51078,37,7.697841
34,1.38407,41,8.404915
35,1.206768,48,8.80424
36,1.193242,48,10.27175
37,1.298178,42,14.38553
38,1.391986,38,10.50541
39,1.249196,41,15.00803
40,1.174307,42,11.99252
41,1.195728,39,13.35713
42,1.191611,43,11.51803
43,1.254259,41,12.70954
44,1.21354,48,12.32295
45,1.188923,48,12.84269
46,1.127891,48,13.92732
47,1.423572,39,21.57011
48,1.494389,31,61.619
49,1.731944,30,28.98966
50,1.441312,39,12.99363
51,1.395238,39,13.28483
52,1.413091,36,12.78417
53,1.482444,40,10.75314
54,1.442185,39,11.42482
55,1.335007,42,12.2815
56,1.114242,42,13.30152
57,1.207603,40,15.13113
58,1.291193,35,18.83945
59,1.541828,30,34.11426
60,1.455067,34,17.8024
61,1.424184,35,17.21799
62,1.447204,35,17.77444
63,1.331364,41,16.40965
64,1.336262,40,17.25409
65,1.285851,42,17.96411
66,1.127087,45,18.10807
67,2.377062,45,19.1192
68,1.200597,40,27.59121
69,1.252371,38,36.46119
70,1.238842,39,28.90331
71,1.182582,45,20.19757
72,1.127036,47,18.7865
73,1.046584,48,18.4172
74,0.9809686,48,19.42648
75,0.9611796,47,21.08886
76,0.8340505,51,19.87246
77,0.8629045,53,20.08634

