TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,3.139058,0,0
2,3.445447,0,0
3,3.917637,0,0
4,3.549939,0,0
5,3.518101,0,0
6,3.464255,0,0
7,3.297418,0,0
8,3.213332,0,0
9,2.955406,0,0
10,3.08422,0,0
11,2.983647,0,0
12,3.014036,1,0.28
13,2.758327,3,0.8199997
14,2.72138,4,1.449999
15,2.910809,4,2.449998
16,2.716838,6,1.942221
17,2.844324,7,2.801665
18,2.754143,8,3.687997
19,2.465538,9,4.536664
20,2.491277,11,4.275552
21,2.550826,13,4.400634
22,2.306426,18,3.583113
23,2.275919,20,4.124449
24,2.455483,17,4.561379
25,2.369686,22,4.167864
26,2.236729,24,4.80174
27,2.193852,27,4.19077
28,2.165495,27,5.05039
29,2.044304,29,5.577252
30,1.776377,36,5.676055
31,1.582369,35,6.444013
32,1.586364,37,7.011273
33,1.455554,37,7.866466
34,1.435996,34,10.0041
35,1.682194,27,39.73024
36,1.7879,30,16.3139
37,1.798707,27,8.677533
38,1.64868,30,9.182619
39,1.626037,31,9.989909
40,1.607897,32,10.82586
41,1.523195,32,11.83023
42,1.394046,36,9.625855
43,1.406704,37,13.05707
44,1.409737,37,14.03002
45,1.429897,38,11.50809
46,1.373508,38,12.48368
47,1.549551,32,17.11116
48,1.814388,29,10.55444
49,1.955528,29,11.58501
50,1.869755,29,12.61558
51,3.08812,29,13.62671
52,1.695549,35,11.16004
53,1.757932,32,12.27464
54,1.769587,29,16.56287
55,1.76648,30,14.13133
56,1.603052,34,14.09068
57,1.507221,36,13.72319
58,1.390776,35,15.31612
59,1.653776,27,47.67742
60,1.838394,26,11.11634
61,1.769375,30,28.00446
62,1.700408,31,21.17385
63,1.625142,30,11.05066
64,2.302669,33,13.38393
65,1.622156,35,12.58116
66,1.567479,34,15.28824
67,1.37731,39,12.59319
68,1.246146,41,12.90924
69,3.212144,43,13.46287
70,1.299509,36,20.27544
71,1.447006,31,49.8834
72,1.7513,29,10.38358
73,1.783444,30,11.15925
74,1.741189,31,38.34492
75,1.517632,36,12.94501
76,1.570733,37,12.11901
77,1.750513,32,14.40844

