TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.797823,0,0
2,2.780576,0,0
3,3.39741,0,0
4,3.379652,0,0
5,3.355838,0,0
6,3.397546,0,0
7,3.309169,0,0
8,3.370653,0,0
9,3.415021,0,0
10,3.611413,0,0
11,3.588711,0,0
12,3.600562,0,0
13,3.504414,0,0
14,2.844666,1,0.8399997
15,2.690184,2,1.379999
16,2.66971,2,2.419998
17,2.199698,3,2.426665
18,2.272812,3,3.446664
19,2.491801,4,3.099998
20,2.309232,9,3.82095
21,2.382559,8,4.887774
22,2.76338,9,4.012497
23,2.611087,13,4.53583
24,2.571877,14,5.449226
25,2.546385,14,6.469233
26,2.530315,14,2.979228
27,2.281882,15,2.799487
28,2.260596,15,3.799489
29,2.239271,15,4.819491
30,2.25658,15,5.839495
31,2.50267,11,8.378539
32,2.866984,3,37.47346
33,2.803301,4,20.14006
34,3.003382,2,8.120002
35,2.982733,2,9.140019
36,2.740167,2,10.16004
37,2.501172,6,4.556688
38,2.329198,7,4.292522
39,2.330279,7,5.312527
40,2.748405,5,5.626689
41,2.865382,5,6.646692
42,2.647277,6,6.877806
43,2.541863,6,7.897811
44,2.929328,4,6.62667
45,2.791218,5,6.720007
46,2.739807,5,7.692518
47,2.215058,7,4.361685
48,2.624011,5,5.142526
49,2.746968,5,6.182532
50,2.895664,5,7.182538
51,2.851608,5,8.182545
52,3.228573,1,5.439996
53,3.300987,1,6.459995
54,3.227442,1,7.479994
55,3.059372,2,4.510002
56,3.079844,1,9.500028
57,3.270977,1,10.52005
58,3.079034,2,5.850037
59,2.942864,4,4.636699
60,2.605947,7,3.496686
61,2.627853,8,3.598904
62,2.615234,10,3.712679
63,2.602878,10,4.67768
64,2.577694,11,5.524181
65,3.004902,8,5.489995
66,2.948314,8,6.509998
67,2.839649,9,6.558895
68,2.810004,9,7.558907
69,2.589377,10,8.211936
70,2.69055,10,9.231952
71,2.749037,8,11.56607
72,3.135115,4,10.12675
73,2.783995,5,7.577842
74,2.911455,5,8.617852
75,2.861752,6,9.347863
76,2.685464,7,7.995908
77,2.767603,7,4.643352
78,2.686051,7,5.663355
79,2.747083,7,6.703358
80,2.537432,11,5.176686
81,2.190205,12,4.672518
82,2.809114,7,3.800001
83,2.822371,7,4.802228
84,2.773777,8,5.433346
85,2.849143,8,6.453352
86,2.850288,8,7.453358
87,2.624887,9,6.375024
88,2.475905,12,6.119024
89,2.454302,12,7.136531
90,2.766701,8,6.905354
91,2.730127,9,7.52981
92,2.619728,10,8.014487
93,2.502698,11,8.568305
94,2.506356,11,9.588317
95,2.192875,13,7.759164
96,2.06671,15,8.32694
97,1.975536,15,9.346951
98,2.694138,7,9.65841
99,2.737071,7,10.68676
100,2.528953,9,10.64232
101,2.497606,10,9.861746
102,2.5473,11,11.96595
103,2.49044,11,12.96263
104,2.323814,12,10.53074
105,2.191365,13,11.30873
106,2.239607,13,7.612714
107,2.121058,16,6.761154
108,2.078431,16,7.781163
109,2.005298,16,8.821172
110,2.737803,5,7.552539
111,2.717302,7,6.185879
112,2.448427,11,7.807812
113,2.678461,8,7.82506
114,2.70058,8,8.825068
115,2.694744,9,7.223385
116,2.750252,9,8.243392
117,2.712743,9,13.96735
118,2.642195,9,4.830011
119,2.444712,13,3.455564
120,2.411512,12,4.980681
121,2.333212,15,4.721678
122,2.254168,14,6.132876
123,2.020602,18,4.886959
124,2.348905,11,13.50257
125,2.54386,9,5.870003
126,2.361234,10,6.618897
127,2.183482,14,6.298904
128,2.160381,14,7.323583
129,2.188387,16,7.896702
130,2.170216,15,7.315026
131,2.056781,16,5.676689
132,2.011934,16,6.696698
133,2.12691,17,7.343374
134,2.57926,9,17.30845
135,2.649223,6,6.192525
136,2.572998,7,6.595867
137,2.458301,12,7.127916
138,2.756678,8,8.030051
139,2.443075,9,7.817548
140,2.581193,9,8.837558
141,2.494278,11,8.144693
142,2.600499,11,9.165777
143,2.542629,14,6.312523
144,2.505654,13,9.724129
145,2.435077,15,9.410617
146,2.428621,15,10.41063
147,2.962342,7,9.188634

