TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.073871,0,0
2,3.192157,0,0
3,3.207194,0,0
4,3.37058,0,0
5,3.143039,0,0
6,3.001733,0,0
7,3.18011,0,0
8,3.22661,0,0
9,3.158662,0,0
10,3.145031,0,0
11,3.076706,1,0.52
12,3.025474,1,1.539999
13,3.103612,1,2.539998
14,3.141658,1,3.539997
15,2.866386,2,2.499998
16,2.908993,1,2.079999
17,2.417164,3,1.239999
18,1.365903,6,1.359999
19,1.252258,7,2.121665
20,1.612024,5,3.092498
21,1.614367,5,4.147497
22,1.582902,7,3.267998
23,1.351448,14,4.048831
24,1.293604,15,4.969481
25,1.272167,16,5.884669
26,1.254839,16,6.870677
27,1.979537,11,6.844013
28,1.793175,13,10.41702
29,1.837594,12,6.302023
30,1.717356,13,7.07094
31,1.704746,13,8.040648
32,1.665072,13,9.029752
33,2.521531,12,7.189111
34,2.469778,12,8.143665
35,2.422108,12,9.098219
36,2.346609,12,10.05278
37,2.595794,2,72.37063
38,2.909564,1,10.42005
39,2.726281,2,5.800036
40,2.954577,2,6.800047
41,2.838364,6,5.498372
42,3.046451,3,6.553379
43,3.043789,2,9.82008
44,2.876483,5,7.277838
45,2.81904,6,8.261735
46,2.884203,6,9.281741
47,2.963476,5,5.692498
48,2.810223,5,6.692509
49,2.759547,6,5.44168
50,2.373143,7,4.671676
51,2.318289,8,4.961674
52,2.238525,8,5.981678
53,2.599194,5,7.072508
54,2.505154,6,6.797521
55,2.533279,6,7.797531
56,2.437473,7,6.178361
57,2.519168,6,8.90837
58,2.691061,6,5.975044
59,2.445313,6,6.975051
60,2.072357,8,7.499503
61,1.996561,5,25.63804
62,1.93578,6,9.464516
63,2.008843,4,6.186662
64,2.01828,5,6.555007
65,1.808436,8,4.785346
66,1.892466,9,5.829798
67,1.684026,12,6.418362
68,1.878821,10,4.647505
69,1.916894,10,5.64751
70,1.918107,10,6.647514
71,1.922732,10,7.64752

